   3017 
    137 IPR001680	WD40 repeat
     91 IPR013087	Zinc finger C2H2-type
     63 IPR000742	EGF-like domain
     53 IPR005455	Profilin
     46 IPR013783	Immunoglobulin-like fold
     44 IPR000859	CUB domain
     44 IPR000719	Protein kinase domain
     42 IPR002035	von Willebrand factor, type A
     41 IPR000276	G protein-coupled receptor, rhodopsin-like
     36 IPR006186	Serine/threonine-specific protein phosphatase/bis(5-nucleosyl)-tetraphosphatase
     35 IPR027417	P-loop containing nucleoside triphosphate hydrolase
     34 IPR003961	Fibronectin type III
     34 IPR002713	FF domain
     34 IPR002048	EF-hand domain
     33 IPR036465	von Willebrand factor A-like domain superfamily
     33 IPR000242	PTP type protein phosphatase
     30 IPR036179	Immunoglobulin-like domain superfamily
     27 IPR011009	Protein kinase-like domain superfamily
     27 IPR001609	Myosin head, motor domain
     26 IPR007110	Immunoglobulin-like domain
     25 IPR001507	Zona pellucida domain
     24 IPR035914	Spermadhesin, CUB domain superfamily
     24 IPR000998	MAM domain
     23 IPR036517	FF domain superfamily
     23 IPR019775	WD40 repeat, conserved site
     23 IPR010513	KEN domain
     23 IPR001452	SH3 domain
     22 IPR013098	Immunoglobulin I-set
     21 IPR003599	Immunoglobulin subtype
     21 IPR001283	Cysteine-rich  secretory protein-related
     20 IPR001632	G-protein, beta subunit
     20 IPR001245	Serine-threonine/tyrosine-protein kinase, catalytic domain
     20 IPR000296	Cation-dependent mannose-6-phosphate receptor
     19 IPR036188	FAD/NAD(P)-binding domain superfamily
     19 IPR001881	EGF-like calcium-binding domain
     19 IPR001781	Zinc finger, LIM-type
     18 IPR020472	G-protein beta WD-40 repeat
     18 IPR018108	Mitochondrial substrate/solute carrier
     18 IPR014038	Translation elongation factor EF1B, beta/delta subunit, guanine nucleotide exchange domain
     18 IPR002347	Short-chain dehydrogenase/reductase SDR
     18 IPR002067	Mitochondrial carrier protein
     17 IPR029058	Alpha/Beta hydrolase fold
     17 IPR000504	RNA recognition motif domain
     16 IPR036236	Zinc finger C2H2 superfamily
     16 IPR003598	Immunoglobulin subtype 2
     16 IPR002126	Cadherin-like
     16 IPR002110	Ankyrin repeat
     15 IPR036322	WD40-repeat-containing domain superfamily
     15 IPR029021	Protein-tyrosine phosphatase-like
     15 IPR015943	WD40/YVTN repeat-like-containing domain superfamily
     13 IPR041249	DZIP3-like HEPN domain
     13 IPR008930	Terpenoid cyclases/protein prenyltransferase alpha-alpha toroid
     13 IPR003582	ShKT domain
     13 IPR001611	Leucine-rich repeat
     13 IPR001506	Peptidase M12A
     12 IPR038357	KEN domain superfamily
     12 IPR027477	Succinate dehydrogenase/fumarate reductase flavoprotein, catalytic domain superfamily
     12 IPR024872	HEXIM
     12 IPR019734	Tetratricopeptide repeat
     12 IPR018940	Elongation factor 1 beta central acidic region, eukaryote
     12 IPR018247	EF-Hand 1, calcium-binding site
     12 IPR005018	DOMON domain
     12 IPR000421	Coagulation factor 5/8 C-terminal domain
     11 IPR036249	Thioredoxin-like superfamily
     11 IPR017986	WD40-repeat-containing domain
     11 IPR017441	Protein kinase, ATP binding site
     11 IPR011641	Tyrosine-protein kinase ephrin type A/B receptor-like
     11 IPR002157	Cobalamin (vitamin B12)-binding protein
     10 IPR035940	CAP superfamily
     10 IPR011990	Tetratricopeptide-like helical domain superfamily
     10 IPR009048	Alpha-macroglobulin, receptor-binding
     10 IPR008979	Galactose-binding-like domain superfamily
     10 IPR006689	Small GTPase superfamily, ARF/SAR type
     10 IPR002167	Graves disease carrier protein
     10 IPR001715	Calponin homology domain
     10 IPR001202	WW domain
     10 IPR000716	Thyroglobulin type-1
      9 IPR014720	Double-stranded RNA-binding domain
      9 IPR014044	CAP domain
      9 IPR011993	PH-like domain superfamily
      9 IPR011992	EF-hand domain pair
      9 IPR008197	WAP-type 'four-disulfide core' domain
      9 IPR002219	Protein kinase C-like, phorbol ester/diacylglycerol-binding domain
      9 IPR001841	Zinc finger, RING-type
      9 IPR001346	Interferon regulatory factor DNA-binding domain
      8 IPR036770	Ankyrin repeat-containing domain superfamily
      8 IPR036259	MFS transporter superfamily
      8 IPR036116	Fibronectin type III superfamily
      8 IPR020683	Ankyrin repeat-containing domain
      8 IPR018933	Netrin module, non-TIMP type
      8 IPR011625	Alpha-2-macroglobulin, bait region domain
      8 IPR008993	Tissue inhibitor of metalloproteinases-like, OB-fold
      8 IPR004240	Nonaspanin (TM9SF)
      8 IPR002241	Glycoside hydrolase, family 27
      8 IPR001951	Histone H4
      8 IPR001628	Zinc finger, nuclear hormone receptor-type
      8 IPR001599	Alpha-2-macroglobulin
      8 IPR000558	Histone H2B
      8 IPR000048	IQ motif, EF-hand binding site
      8 IPR000008	C2 domain
      7 IPR029052	Metallo-dependent phosphatase-like
      7 IPR017452	GPCR, rhodopsin-like, 7TM
      7 IPR016024	Armadillo-type fold
      7 IPR013766	Thioredoxin domain
      7 IPR013320	Concanavalin A-like lectin/glucanase domain superfamily
      7 IPR011356	Peptidase M17, leucine aminopeptidase/peptidase B
      7 IPR009071	High mobility group box domain
      7 IPR002130	Cyclophilin-type peptidyl-prolyl cis-trans isomerase domain
      7 IPR002119	Histone H2A
      7 IPR001190	SRCR domain
      6 IPR041555	Macroglobulin domain MG3
      6 IPR037099	Fumarate reductase/succinate dehydrogenase flavoprotein-like, C-terminal domain superfamily
      6 IPR036910	High mobility group box domain superfamily
      6 IPR036802	ATP:guanido phosphotransferase, N-terminal domain superfamily
      6 IPR036595	Alpha-macroglobulin, receptor-binding domain superfamily
      6 IPR036219	Translation elongation factor eEF-1beta-like superfamily
      6 IPR036140	Profilin superfamily
      6 IPR035979	RNA-binding domain superfamily
      6 IPR032675	Leucine-rich repeat domain superfamily
      6 IPR027409	GroEL-like apical domain superfamily
      6 IPR023395	Mitochondrial carrier domain superfamily
      6 IPR022413	ATP:guanido phosphotransferase, N-terminal
      6 IPR017998	Chaperone tailless complex polypeptide 1 (TCP-1)
      6 IPR015939	Fumarate reductase/succinate dehydrogenase flavoprotein-like, C-terminal
      6 IPR014717	Translation elongation factor EF1B/ribosomal protein S6
      6 IPR012677	Nucleotide-binding alpha-beta plait domain superfamily
      6 IPR010569	Myotubularin-like phosphatase domain
      6 IPR009146	Groucho/transducin-like enhancer
      6 IPR009072	Histone-fold
      6 IPR009030	Growth factor receptor cysteine-rich domain superfamily
      6 IPR009011	Mannose-6-phosphate receptor binding domain superfamily
      6 IPR008271	Serine/threonine-protein kinase, active site
      6 IPR008160	Collagen triple helix repeat
      6 IPR006015	Universal stress protein A family
      6 IPR004843	Calcineurin-like phosphoesterase domain, ApaH type
      6 IPR004009	Myosin, N-terminal, SH3-like
      6 IPR003953	FAD-dependent oxidoreductase 2, FAD binding domain
      6 IPR003591	Leucine-rich repeat, typical subtype
      6 IPR003409	MORN motif
      6 IPR003307	W2 domain
      6 IPR003096	Smooth muscle protein/calponin
      6 IPR002194	Chaperonin TCP-1, conserved site
      6 IPR002172	Low-density lipoprotein (LDL) receptor class A repeat
      6 IPR002113	ADP/ATP carrier protein, eukaryotic type
      6 IPR001846	von Willebrand factor, type D domain
      6 IPR001660	Sterile alpha motif domain
      6 IPR001046	NRAMP family
      6 IPR000884	Thrombospondin type-1 (TSP1) repeat
      6 IPR000488	Death domain
      6 IPR000484	Photosynthetic reaction centre, L/M
      6 IPR000198	Rho GTPase-activating protein domain
      6 IPR000152	EGF-type aspartate/asparagine hydroxylation site
      6 IPR000058	Zinc finger, AN1-type
      5 IPR036961	Kinesin motor domain superfamily
      5 IPR036872	CH domain superfamily
      5 IPR036383	Thrombospondin type-1 (TSP1) repeat superfamily
      5 IPR036291	NAD(P)-binding domain superfamily
      5 IPR036028	SH3-like domain superfamily
      5 IPR034113	Golgi-associated plant pathogenesis-related protein 1, SCP domain
      5 IPR028927	Mannose-6-phosphate receptor
      5 IPR027413	GroEL-like equatorial domain superfamily
      5 IPR022533	Cox20
      5 IPR016346	Guanine nucleotide-binding protein, beta subunit
      5 IPR016021	MIF4G-like domain superfamily
      5 IPR013289	CBFA2T family
      5 IPR013083	Zinc finger, RING/FYVE/PHD-type
      5 IPR011989	Armadillo-like helical
      5 IPR004827	Basic-leucine zipper domain
      5 IPR004000	Actin family
      5 IPR002890	Macroglobulin domain
      5 IPR002350	Kazal domain
      5 IPR002189	F-actin-capping protein subunit alpha
      5 IPR001848	Ribosomal protein S10
      5 IPR001806	Small GTPase
      5 IPR001752	Kinesin motor domain
      5 IPR001723	Nuclear hormone receptor
      5 IPR001564	Nucleoside diphosphate kinase
      5 IPR001096	Peptidase C13, legumain
      5 IPR000850	Adenylate kinase/UMP-CMP kinase
      5 IPR000315	B-box-type zinc finger
      5 IPR000261	EH domain
      5 IPR000073	Alpha/beta hydrolase fold-1
      4 IPR042097	Aminopeptidase N-like , N-terminal
      4 IPR041425	Complement C3/4/5, macroglobulin domain MG1
      4 IPR040839	Macroglobulin domain MG4
      4 IPR036860	SH2 domain superfamily
      4 IPR036857	Thyroglobulin type-1 superfamily
      4 IPR036850	Nucleoside diphosphate kinase-like domain superfamily
      4 IPR036838	Ribosomal protein S10 domain superfamily
      4 IPR036612	K Homology domain, type 1 superfamily
      4 IPR036539	Cytochrome c oxidase, subunit VIIa superfamily
      4 IPR036396	Cytochrome P450 superfamily
      4 IPR036390	Winged helix DNA-binding domain superfamily
      4 IPR036380	Isochorismatase-like superfamily
      4 IPR035896	AN1-like Zinc finger
      4 IPR035892	C2 domain superfamily
      4 IPR034907	Nucleoside diphosphate kinase-like domain
      4 IPR028184	Transcription cofactor vestigial-like protein 4
      4 IPR027486	Ribosomal protein S10 domain
      4 IPR022812	Dynamin superfamily
      4 IPR020635	Tyrosine-protein kinase, catalytic domain
      4 IPR020471	Aldo/keto reductase
      4 IPR020454	Diacylglycerol/phorbol-ester binding
      4 IPR019742	Alpha-2-macroglobulin, conserved site
      4 IPR018980	FERM, C-terminal PH-like domain
